offense_desc,latitude,longitude,lat_long
KIDNAPPING & RELATED OFFENSES,40.69536744700008,-73.98324342499996,(40.69536744700008, -73.98324342499996)
KIDNAPPING & RELATED OFFENSES,40.776327181000056,-73.96212639699996,(40.776327181000056, -73.96212639699996)
KIDNAPPING & RELATED OFFENSES,40.754699165000034,-73.99350089399996,(40.754699165000034, -73.99350089399996)
KIDNAPPING & RELATED OFFENSES,40.73029575000004,-73.99807472699997,(40.73029575000004, -73.99807472699997)
KIDNAPPING & RELATED OFFENSES,40.71406010100003,-73.99020064699994,(40.71406010100003, -73.99020064699994)
KIDNAPPING & RELATED OFFENSES,40.70399759500003,-73.79854716499993,(40.70399759500003, -73.79854716499993)
KIDNAPPING & RELATED OFFENSES,40.67977430400003,-73.83813155199994,(40.67977430400003, -73.83813155199994)
KIDNAPPING & RELATED OFFENSES,40.83406925100008,-73.94488137899998,(40.83406925100008, -73.94488137899998)
KIDNAPPING & RELATED OFFENSES,40.82786013700007,-73.87417980899994,(40.82786013700007, -73.87417980899994)
KIDNAPPING & RELATED OFFENSES,40.69866903400003,-73.78733657099998,(40.69866903400003, -73.78733657099998)
KIDNAPPING & RELATED OFFENSES,40.75280387300006,-73.85645906799994,(40.75280387300006, -73.85645906799994)
KIDNAPPING & RELATED OFFENSES,40.819731930000046,-73.84819280399995,(40.819731930000046, -73.84819280399995)
KIDNAPPING & RELATED OFFENSES,40.697183120000034,-73.97561564299998,(40.697183120000034, -73.97561564299998)
KIDNAPPING & RELATED OFFENSES,40.748825444000026,-73.89315774599999,(40.748825444000026, -73.89315774599999)
KIDNAPPING & RELATED OFFENSES,40.748825444000026,-73.89315774599999,(40.748825444000026, -73.89315774599999)
KIDNAPPING & RELATED OFFENSES,40.64627010100002,-74.00014918799997,(40.64627010100002, -74.00014918799997)
KIDNAPPING & RELATED OFFENSES,40.656693553000025,-73.96066977199997,(40.656693553000025, -73.96066977199997)
KIDNAPPING & RELATED OFFENSES,40.836105283000045,-73.93838202299997,(40.836105283000045, -73.93838202299997)
KIDNAPPING & RELATED OFFENSES,40.75544809600007,-73.85728715499994,(40.75544809600007, -73.85728715499994)
KIDNAPPING & RELATED OFFENSES,40.613214009000046,-74.06262531799997,(40.613214009000046, -74.06262531799997)
KIDNAPPING & RELATED OFFENSES,40.71519693200002,-73.91302281799993,(40.71519693200002, -73.91302281799993)
KIDNAPPING & RELATED OFFENSES,40.70334997200007,-73.80020457099994,(40.70334997200007, -73.80020457099994)
KIDNAPPING & RELATED OFFENSES,40.87259600400005,-73.82556363499998,(40.87259600400005, -73.82556363499998)
KIDNAPPING & RELATED OFFENSES,40.68807093600003,-73.93456684899996,(40.68807093600003, -73.93456684899996)
KIDNAPPING & RELATED OFFENSES,40.67998073800004,-73.77623390699993,(40.67998073800004, -73.77623390699993)
KIDNAPPING & RELATED OFFENSES,40.82731347600002,-73.87887459299998,(40.82731347600002, -73.87887459299998)
KIDNAPPING & RELATED OFFENSES,40.667652487000055,-73.84754402799997,(40.667652487000055, -73.84754402799997)
KIDNAPPING & RELATED OFFENSES,40.84593465200004,-73.90655203999995,(40.84593465200004, -73.90655203999995)
KIDNAPPING & RELATED OFFENSES,40.79415338600006,-73.96844369899996,(40.79415338600006, -73.96844369899996)
KIDNAPPING & RELATED OFFENSES,40.72182201900005,-73.98747935099993,(40.72182201900005, -73.98747935099993)
KIDNAPPING & RELATED OFFENSES,40.59423893300004,-73.93684084299997,(40.59423893300004, -73.93684084299997)
KIDNAPPING & RELATED OFFENSES,40.72570983000002,-73.86984842499999,(40.72570983000002, -73.86984842499999)
KIDNAPPING & RELATED OFFENSES,40.57733407800004,-74.01080452599997,(40.57733407800004, -74.01080452599997)
KIDNAPPING & RELATED OFFENSES,40.74483329900005,-73.98188487199997,(40.74483329900005, -73.98188487199997)
KIDNAPPING & RELATED OFFENSES,40.64232675700004,-73.90054575699997,(40.64232675700004, -73.90054575699997)
KIDNAPPING & RELATED OFFENSES,40.62820571000003,-74.02912824599997,(40.62820571000003, -74.02912824599997)
KIDNAPPING & RELATED OFFENSES,40.80323023600005,-73.95252472099996,(40.80323023600005, -73.95252472099996)
KIDNAPPING & RELATED OFFENSES,40.67636647500007,-73.86928857699996,(40.67636647500007, -73.86928857699996)
KIDNAPPING & RELATED OFFENSES,40.826812010000026,-73.92092380699995,(40.826812010000026, -73.92092380699995)
KIDNAPPING & RELATED OFFENSES,40.676231908000034,-74.00694499699993,(40.676231908000034, -74.00694499699993)
KIDNAPPING & RELATED OFFENSES,40.90433847700007,-73.84693599599996,(40.90433847700007, -73.84693599599996)
KIDNAPPING & RELATED OFFENSES,40.827819901000055,-73.92593075599996,(40.827819901000055, -73.92593075599996)
KIDNAPPING & RELATED OFFENSES,40.90031533000007,-73.841251587,(40.90031533000007, -73.841251587)
KIDNAPPING & RELATED OFFENSES,40.83564782100007,-73.88561001399995,(40.83564782100007, -73.88561001399995)
KIDNAPPING & RELATED OFFENSES,40.68322655100008,-73.87006474499998,(40.68322655100008, -73.87006474499998)
KIDNAPPING & RELATED OFFENSES,40.598361115000046,-73.77603570899998,(40.598361115000046, -73.77603570899998)
KIDNAPPING & RELATED OFFENSES,40.841349886000046,-73.83083905999997,(40.841349886000046, -73.83083905999997)
KIDNAPPING & RELATED OFFENSES,40.796444217000044,-73.96491761499993,(40.796444217000044, -73.96491761499993)
KIDNAPPING & RELATED OFFENSES,40.83857962500008,-73.92663072799998,(40.83857962500008, -73.92663072799998)
KIDNAPPING & RELATED OFFENSES,40.82531177800007,-73.87554682099994,(40.82531177800007, -73.87554682099994)
KIDNAPPING & RELATED OFFENSES,40.59103248900004,-73.78612750699995,(40.59103248900004, -73.78612750699995)
KIDNAPPING & RELATED OFFENSES,40.59103248900004,-73.78612750699995,(40.59103248900004, -73.78612750699995)
KIDNAPPING & RELATED OFFENSES,40.82531177800007,-73.87554682099994,(40.82531177800007, -73.87554682099994)
KIDNAPPING & RELATED OFFENSES,40.80393187900006,-73.95014024399995,(40.80393187900006, -73.95014024399995)
KIDNAPPING & RELATED OFFENSES,40.73898557600006,-73.99566395599999,(40.73898557600006, -73.99566395599999)
KIDNAPPING & RELATED OFFENSES,40.74539986900004,-73.90558150799995,(40.74539986900004, -73.90558150799995)
KIDNAPPING & RELATED OFFENSES,40.83531944700008,-73.94203990499993,(40.83531944700008, -73.94203990499993)
KIDNAPPING & RELATED OFFENSES,40.89055078200005,-73.86123238399993,(40.89055078200005, -73.86123238399993)
KIDNAPPING & RELATED OFFENSES,40.79826064200005,-73.94286676199994,(40.79826064200005, -73.94286676199994)
KIDNAPPING & RELATED OFFENSES,40.764976951000044,-73.86332788599998,(40.764976951000044, -73.86332788599998)
KIDNAPPING & RELATED OFFENSES,40.67377214200008,-73.92360714999995,(40.67377214200008, -73.92360714999995)
KIDNAPPING & RELATED OFFENSES,40.838166185000034,-73.94298789299995,(40.838166185000034, -73.94298789299995)
KIDNAPPING & RELATED OFFENSES,40.83628833500006,-73.92748973599998,(40.83628833500006, -73.92748973599998)
KIDNAPPING & RELATED OFFENSES,40.70375491500005,-73.78282644099994,(40.70375491500005, -73.78282644099994)
KIDNAPPING & RELATED OFFENSES,40.65867979500007,-73.91739273499996,(40.65867979500007, -73.91739273499996)
KIDNAPPING & RELATED OFFENSES,40.851630654000076,-73.826522287,(40.851630654000076, -73.826522287)
KIDNAPPING & RELATED OFFENSES,40.70210711400005,-73.80694538099993,(40.70210711400005, -73.80694538099993)
KIDNAPPING & RELATED OFFENSES,40.68699927500006,-73.93734432899998,(40.68699927500006, -73.93734432899998)
KIDNAPPING & RELATED OFFENSES,40.74552098100002,-73.90599997199998,(40.74552098100002, -73.90599997199998)
KIDNAPPING & RELATED OFFENSES,40.80171720800007,-73.93435039399996,(40.80171720800007, -73.93435039399996)
KIDNAPPING & RELATED OFFENSES,40.654317721000034,-74.00441992599998,(40.654317721000034, -74.00441992599998)
KIDNAPPING & RELATED OFFENSES,40.59423893300004,-73.93684084299997,(40.59423893300004, -73.93684084299997)
KIDNAPPING & RELATED OFFENSES,40.84840119800003,-73.93767303599996,(40.84840119800003, -73.93767303599996)
KIDNAPPING & RELATED OFFENSES,40.83854588000003,-73.86733642899996,(40.83854588000003, -73.86733642899996)
KIDNAPPING & RELATED OFFENSES,40.67607397200004,-73.90391312499997,(40.67607397200004, -73.90391312499997)
KIDNAPPING & RELATED OFFENSES,40.69933076700005,-73.80612394199994,(40.69933076700005, -73.80612394199994)
KIDNAPPING & RELATED OFFENSES,40.69114594800004,-73.94691429499993,(40.69114594800004, -73.94691429499993)
KIDNAPPING & RELATED OFFENSES,40.81320150400006,-73.90039157199999,(40.81320150400006, -73.90039157199999)
KIDNAPPING & RELATED OFFENSES,40.64567407000004,-74.00973814299994,(40.64567407000004, -74.00973814299994)
KIDNAPPING & RELATED OFFENSES,40.80922833500005,-73.93714257499995,(40.80922833500005, -73.93714257499995)
KIDNAPPING & RELATED OFFENSES,40.87790568700007,-73.84792257099997,(40.87790568700007, -73.84792257099997)
KIDNAPPING & RELATED OFFENSES,40.71887006600008,-73.93979270399994,(40.71887006600008, -73.93979270399994)
KIDNAPPING & RELATED OFFENSES,40.741689200000046,-74.00298585099996,(40.741689200000046, -74.00298585099996)
KIDNAPPING & RELATED OFFENSES,40.75468280000007,-73.96417802099995,(40.75468280000007, -73.96417802099995)
KIDNAPPING & RELATED OFFENSES,40.72456131900003,-73.93721160599993,(40.72456131900003, -73.93721160599993)
KIDNAPPING & RELATED OFFENSES,40.84872415700005,-73.90764693499993,(40.84872415700005, -73.90764693499993)
KIDNAPPING & RELATED OFFENSES,40.857010331000026,-73.88331030199998,(40.857010331000026, -73.88331030199998)
KIDNAPPING & RELATED OFFENSES,40.702426418000066,-73.81247696799994,(40.702426418000066, -73.81247696799994)
KIDNAPPING & RELATED OFFENSES,40.86940749200004,-73.87999831299999,(40.86940749200004, -73.87999831299999)
KIDNAPPING & RELATED OFFENSES,40.68351655500004,-73.88463066299995,(40.68351655500004, -73.88463066299995)
KIDNAPPING & RELATED OFFENSES,40.83523618100002,-73.90048145199995,(40.83523618100002, -73.90048145199995)
KIDNAPPING & RELATED OFFENSES,40.823387291,-73.87017045,(40.823387291, -73.87017045)
KIDNAPPING & RELATED OFFENSES,40.680048726,-73.775909194,(40.680048726, -73.775909194)
KIDNAPPING & RELATED OFFENSES,40.671411663,-73.881511724,(40.671411663, -73.881511724)
KIDNAPPING & RELATED OFFENSES,40.612613627,-74.083122217,(40.612613627, -74.083122217)
KIDNAPPING & RELATED OFFENSES,40.806448376,-73.91256403,(40.806448376, -73.91256403)
KIDNAPPING & RELATED OFFENSES,,,
KIDNAPPING & RELATED OFFENSES,40.634144879,-73.926549239,(40.634144879, -73.926549239)
KIDNAPPING & RELATED OFFENSES,40.674777282,-73.871757575,(40.674777282, -73.871757575)
KIDNAPPING & RELATED OFFENSES,40.764158605,-73.819201748,(40.764158605, -73.819201748)
KIDNAPPING & RELATED OFFENSES,40.616782077,-74.076503406,(40.616782077, -74.076503406)
KIDNAPPING & RELATED OFFENSES,40.833595456,-73.914971215,(40.833595456, -73.914971215)
KIDNAPPING & RELATED OFFENSES,40.693950704,-73.809226436,(40.693950704, -73.809226436)
KIDNAPPING & RELATED OFFENSES,40.674831051,-73.863617165,(40.674831051, -73.863617165)
KIDNAPPING & RELATED OFFENSES,40.592827457,-73.796635728,(40.592827457, -73.796635728)
KIDNAPPING & RELATED OFFENSES,40.785431303,-73.941938889,(40.785431303, -73.941938889)
KIDNAPPING & RELATED OFFENSES,40.662307861,-73.882129833,(40.662307861, -73.882129833)
KIDNAPPING & RELATED OFFENSES,40.765843068,-73.815229756,(40.765843068, -73.815229756)
KIDNAPPING & RELATED OFFENSES,40.697064637,-73.937875815,(40.697064637, -73.937875815)
KIDNAPPING & RELATED OFFENSES,40.69302056,-73.918612316,(40.69302056, -73.918612316)
KIDNAPPING & RELATED OFFENSES,40.717095638,-73.803309009,(40.717095638, -73.803309009)
KIDNAPPING & RELATED OFFENSES,40.691882561,-73.99244324,(40.691882561, -73.99244324)
KIDNAPPING & RELATED OFFENSES,40.876454642,-73.886935597,(40.876454642, -73.886935597)
KIDNAPPING & RELATED OFFENSES,40.734025223,-73.804850298,(40.734025223, -73.804850298)
KIDNAPPING & RELATED OFFENSES,40.735783278,-73.810625803,(40.735783278, -73.810625803)
KIDNAPPING & RELATED OFFENSES,40.865557588,-73.823101907,(40.865557588, -73.823101907)
KIDNAPPING & RELATED OFFENSES,40.758659294,-73.884038482,(40.758659294, -73.884038482)
KIDNAPPING & RELATED OFFENSES,40.693258816,-73.819303849,(40.693258816, -73.819303849)
KIDNAPPING & RELATED OFFENSES,40.648030551,-73.952191901,(40.648030551, -73.952191901)
KIDNAPPING & RELATED OFFENSES,40.840234138,-73.917684114,(40.840234138, -73.917684114)
KIDNAPPING & RELATED OFFENSES,40.632532699,-74.137390929,(40.632532699, -74.137390929)
KIDNAPPING & RELATED OFFENSES,40.612613627,-74.083122217,(40.612613627, -74.083122217)
KIDNAPPING & RELATED OFFENSES,40.878612103,-73.85732655,(40.878612103, -73.85732655)
KIDNAPPING & RELATED OFFENSES,40.848284087,-73.855873511,(40.848284087, -73.855873511)
KIDNAPPING & RELATED OFFENSES,40.591258413,-73.810041898,(40.591258413, -73.810041898)
KIDNAPPING & RELATED OFFENSES,40.839208061,-73.880537061,(40.839208061, -73.880537061)
KIDNAPPING & RELATED OFFENSES,40.671268956,-73.895708082,(40.671268956, -73.895708082)
KIDNAPPING & RELATED OFFENSES,40.754422122,-73.998752597,(40.754422122, -73.998752597)
KIDNAPPING & RELATED OFFENSES,40.681268322,-73.892876594,(40.681268322, -73.892876594)
KIDNAPPING & RELATED OFFENSES,40.673288202,-73.872960907,(40.673288202, -73.872960907)
KIDNAPPING & RELATED OFFENSES,40.872242497,-73.853608712,(40.872242497, -73.853608712)
KIDNAPPING & RELATED OFFENSES,40.76841722,-73.990929124,(40.76841722, -73.990929124)
KIDNAPPING & RELATED OFFENSES,40.823116479,-73.954335162,(40.823116479, -73.954335162)
KIDNAPPING & RELATED OFFENSES,40.737377888,-73.85829654,(40.737377888, -73.85829654)
KIDNAPPING & RELATED OFFENSES,40.854025815,-73.929389861,(40.854025815, -73.929389861)
KIDNAPPING & RELATED OFFENSES,40.670823971,-73.961537425,(40.670823971, -73.961537425)
KIDNAPPING & RELATED OFFENSES,40.803889605,-73.954091893,(40.803889605, -73.954091893)
KIDNAPPING & RELATED OFFENSES,40.674262619,-73.904153669,(40.674262619, -73.904153669)
KIDNAPPING & RELATED OFFENSES,40.670619507,-73.939299133,(40.670619507, -73.939299133)
KIDNAPPING & RELATED OFFENSES,40.877554428,-73.872939471,(40.877554428, -73.872939471)
KIDNAPPING & RELATED OFFENSES,40.803393591,-73.938145012,(40.803393591, -73.938145012)
KIDNAPPING & RELATED OFFENSES,40.686995519,-73.980815253,(40.686995519, -73.980815253)
KIDNAPPING & RELATED OFFENSES,40.694918496,-73.792710937,(40.694918496, -73.792710937)
KIDNAPPING & RELATED OFFENSES,40.68288733,-73.81648358,(40.68288733, -73.81648358)
KIDNAPPING & RELATED OFFENSES,40.861186817,-73.90635708,(40.861186817, -73.90635708)
KIDNAPPING & RELATED OFFENSES,40.843986108,-73.913859199,(40.843986108, -73.913859199)
KIDNAPPING & RELATED OFFENSES,40.833493209,-73.858395386,(40.833493209, -73.858395386)
KIDNAPPING & RELATED OFFENSES,40.634516795,-73.949452557,(40.634516795, -73.949452557)
KIDNAPPING & RELATED OFFENSES,40.854547349,-73.913339444,(40.854547349, -73.913339444)
KIDNAPPING & RELATED OFFENSES,40.588500098,-74.09439036,(40.588500098, -74.09439036)
KIDNAPPING & RELATED OFFENSES,40.678391191,-73.811275489,(40.678391191, -73.811275489)
KIDNAPPING & RELATED OFFENSES,40.657545728,-73.902746834,(40.657545728, -73.902746834)
KIDNAPPING & RELATED OFFENSES,40.855260571,-73.896225703,(40.855260571, -73.896225703)
KIDNAPPING & RELATED OFFENSES,40.867307784,-73.903376497,(40.867307784, -73.903376497)
KIDNAPPING & RELATED OFFENSES,40.696634061,-73.847145981,(40.696634061, -73.847145981)
KIDNAPPING & RELATED OFFENSES,40.657389381,-73.899672721,(40.657389381, -73.899672721)
KIDNAPPING & RELATED OFFENSES,40.833595456,-73.914971215,(40.833595456, -73.914971215)
KIDNAPPING & RELATED OFFENSES,40.837436665,-73.944159423,(40.837436665, -73.944159423)
KIDNAPPING & RELATED OFFENSES,40.72398144,-73.960207958,(40.72398144, -73.960207958)
KIDNAPPING & RELATED OFFENSES,40.592336182,-73.981486959,(40.592336182, -73.981486959)
KIDNAPPING & RELATED OFFENSES,40.656002929,-73.909178756,(40.656002929, -73.909178756)
KIDNAPPING & RELATED OFFENSES,40.577587416,-73.976336071,(40.577587416, -73.976336071)
KIDNAPPING & RELATED OFFENSES,40.840984982,-73.916009858,(40.840984982, -73.916009858)
KIDNAPPING & RELATED OFFENSES,40.667684376,-73.919796736,(40.667684376, -73.919796736)
KIDNAPPING & RELATED OFFENSES,40.793668119,-73.941689734,(40.793668119, -73.941689734)
KIDNAPPING & RELATED OFFENSES,40.667533359,-73.780622944,(40.667533359, -73.780622944)
KIDNAPPING & RELATED OFFENSES,40.677148662,-73.924281063,(40.677148662, -73.924281063)
KIDNAPPING & RELATED OFFENSES,40.711565433,-73.768185063,(40.711565433, -73.768185063)
KIDNAPPING & RELATED OFFENSES,40.821723457,-73.906459582,(40.821723457, -73.906459582)
KIDNAPPING & RELATED OFFENSES,40.675792969,-73.90268057,(40.675792969, -73.90268057)
KIDNAPPING & RELATED OFFENSES,40.817144522,-73.861985173,(40.817144522, -73.861985173)
KIDNAPPING & RELATED OFFENSES,40.667135877,-73.866978042,(40.667135877, -73.866978042)
KIDNAPPING & RELATED OFFENSES,40.75473115,-73.970097437,(40.75473115, -73.970097437)
KIDNAPPING & RELATED OFFENSES,40.598966735,-73.965698355,(40.598966735, -73.965698355)
KIDNAPPING & RELATED OFFENSES,40.67306152,-73.879107864,(40.67306152, -73.879107864)
KIDNAPPING & RELATED OFFENSES,40.698478997,-73.784040946,(40.698478997, -73.784040946)
KIDNAPPING & RELATED OFFENSES,40.689648211,-73.924054122,(40.689648211, -73.924054122)
KIDNAPPING & RELATED OFFENSES,40.74850566,-73.885979796,(40.74850566, -73.885979796)
KIDNAPPING & RELATED OFFENSES,40.717095638,-73.803309009,(40.717095638, -73.803309009)
KIDNAPPING & RELATED OFFENSES,40.788721243,-73.939996774,(40.788721243, -73.939996774)
KIDNAPPING & RELATED OFFENSES,40.661096839,-73.919703735,(40.661096839, -73.919703735)
KIDNAPPING & RELATED OFFENSES,40.668560242,-73.88460967,(40.668560242, -73.88460967)
KIDNAPPING & RELATED OFFENSES,40.59406298,-73.960868693,(40.59406298, -73.960868693)
KIDNAPPING & RELATED OFFENSES,40.837323511,-73.919830757,(40.837323511, -73.919830757)
KIDNAPPING & RELATED OFFENSES,40.692681179,-73.990914183,(40.692681179, -73.990914183)
KIDNAPPING & RELATED OFFENSES,40.691534166,-73.996323331,(40.691534166, -73.996323331)
KIDNAPPING & RELATED OFFENSES,40.816597607,-73.953924166,(40.816597607, -73.953924166)
KIDNAPPING & RELATED OFFENSES,40.680399232,-73.8799887,(40.680399232, -73.8799887)
KIDNAPPING & RELATED OFFENSES,40.662453171,-73.949362905,(40.662453171, -73.949362905)
KIDNAPPING & RELATED OFFENSES,40.678294611,-73.883262479,(40.678294611, -73.883262479)
