id,plate,state,license_type,summons_number,issue_date,summons_image,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date
0,831XPA,MA,PAS,8555450597,04/21/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNVVVVEZOUkZVMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
1,30655AF,NY,COM,4015606243,10/29/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmVFNVVXWGRPYWtrd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:48P,BUS LANE VIOLATION,50,0,0,0,50,0,000,MN,DEPARTMENT OF TRANSPORTATION,,
2,62988JM,NY,COM,8704124388,01/18/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamQwNUVSWGxPUkUwMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",05:40P,SAFETY ZONE,115,0,0,15,100,0,010,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
3,50035MH,NY,COM,8704124418,01/20/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamQwNUVSWGxPUkZGNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:04A,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,014,NY,TRAFFIC,,
4,HTU8837,NY,OMS,4650123926,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxOZW10NVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:16P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
5,8ZEJ80,MA,PAS,4650124189,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkVVMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:22P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
6,10491MA,NY,COM,8583349630,08/29/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FMTZUVEJQVkZsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:16P,NO STANDING-DAY/TIME LIMITS,115,60,0,53,122,0,090,K,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
7,HXA8679,NY,PAS,8559588929,09/13/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFJQUkd0NVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:50P,NO PARKING-DAY/TIME LIMITS,60,10,0,0,70,0,109,Q,TRAFFIC,,
8,HYU5294,NY,PAS,8559589193,09/17/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFJQVkVVMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:20P,EXPIRED MUNI METER,35,10,0,0,45,0,108,Q,TRAFFIC,,
9,HTW5546,NY,PAS,8685300575,06/30/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGROUkZVelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:27A,FIRE HYDRANT,115,60,0.92,0,175.92,0,069,K,TRAFFIC,,10/18/2018
